target,horizon,mse,r2,scope
randwick_wsp_1h_average_m_s,1,0.6113628545825571,0.7546488587519051,suburb
randwick_wsp_1h_average_m_s,3,0.9611945472658873,0.6143046509900931,suburb
rozelle_wsp_1h_average_m_s,1,0.3103388013118444,0.7642811572558901,suburb
rozelle_wsp_1h_average_m_s,3,0.692207039028016,0.4741219624379197,suburb
liverpool_wsp_1h_average_m_s,1,0.28505410861512126,0.750344056446533,suburb
liverpool_wsp_1h_average_m_s,3,0.5505808470197906,0.5179780581454397,suburb
bringelly_wsp_1h_average_m_s,1,0.1763080672300273,0.7674751120986414,suburb
bringelly_wsp_1h_average_m_s,3,0.36546241601122237,0.518293389373617,suburb
earlwood_wsp_1h_average_m_s,1,0.11517391329921368,0.7610470130973879,suburb
earlwood_wsp_1h_average_m_s,3,0.19011457066439483,0.6057713388378398,suburb
richmond_wsp_1h_average_m_s,1,0.3303206843576063,0.7490177950428818,suburb
richmond_wsp_1h_average_m_s,3,0.5548045776182295,0.5784904564601943,suburb
st_marys_wsp_1h_average_m_s,1,0.2567085611820303,0.8067673154895216,suburb
st_marys_wsp_1h_average_m_s,3,0.4848294154514855,0.6351584051611245,suburb
parramatta_north_wsp_1h_average_m_s,1,0.11948905215218351,0.8194513784293984,suburb
parramatta_north_wsp_1h_average_m_s,3,0.2589692888426307,0.6089262363376131,suburb
oakdale_wsp_1h_average_m_s,1,0.12855195035581068,0.564992711866009,suburb
oakdale_wsp_1h_average_m_s,3,0.20253583600237088,0.3150339885074911,suburb
prospect_wsp_1h_average_m_s,1,0.2873897154642931,0.7472787037078452,suburb
prospect_wsp_1h_average_m_s,3,0.4628415945085853,0.5932444371666004,suburb
campbelltown_west_wsp_1h_average_m_s,1,0.3973865048760576,0.7218177157152366,suburb
campbelltown_west_wsp_1h_average_m_s,3,0.6405420415769131,0.5517177737033325,suburb
camden_wsp_1h_average_m_s,1,0.26948883044773575,0.7712011078786378,suburb
camden_wsp_1h_average_m_s,3,0.42568974973462137,0.6382061249921016,suburb
macquarie_park_wsp_1h_average_m_s,1,0.15290570071224407,0.7198352369870811,suburb
macquarie_park_wsp_1h_average_m_s,3,0.2643803762438903,0.5158094415667419,suburb
rouse_hill_wsp_1h_average_m_s,1,0.22149440689497754,0.7768831522733431,suburb
rouse_hill_wsp_1h_average_m_s,3,0.5433401763430419,0.45275824546894994,suburb
lidcombe_wsp_1h_average_m_s,1,0.21322055775386595,0.8152810376772093,suburb
lidcombe_wsp_1h_average_m_s,3,0.38523045853179233,0.6662264771864923,suburb
penrith_wsp_1h_average_m_s,1,0.23311111541454196,0.7858482740762743,suburb
penrith_wsp_1h_average_m_s,3,0.42600318182773156,0.6084529785034973,suburb
randwick_temp_1h_average_c,1,1.0793587147698807,0.9012441808544093,suburb
randwick_temp_1h_average_c,3,2.5295909132419747,0.7686985186855503,suburb
rozelle_temp_1h_average_c,1,0.594253895191516,0.9548844191921078,suburb
rozelle_temp_1h_average_c,3,1.9060593796516228,0.8553798092941014,suburb
liverpool_temp_1h_average_c,1,0.6824170137428389,0.9620727927711097,suburb
liverpool_temp_1h_average_c,3,2.195394407305289,0.8780572619140162,suburb
bringelly_temp_1h_average_c,1,0.9150144093068836,0.9642167098286712,suburb
bringelly_temp_1h_average_c,3,3.0135629274737106,0.8822142393184608,suburb
earlwood_temp_1h_average_c,1,0.7691298831747876,0.9488050184003245,suburb
earlwood_temp_1h_average_c,3,2.215757377218507,0.8526013691945271,suburb
richmond_temp_1h_average_c,1,1.1047955619480254,0.9516253926468916,suburb
richmond_temp_1h_average_c,3,3.1262589906288625,0.8631846874924759,suburb
bargo_temp_1h_average_c,1,1.3369194101852868,0.923527674895488,suburb
bargo_temp_1h_average_c,3,2.949322370381081,0.8313898297280677,suburb
st_marys_temp_1h_average_c,1,0.795686144053284,0.9678635829676919,suburb
st_marys_temp_1h_average_c,3,2.9478680515364726,0.8810046455794758,suburb
parramatta_north_temp_1h_average_c,1,0.6754786573606303,0.9646575482775361,suburb
parramatta_north_temp_1h_average_c,3,2.412299487373588,0.8738557458905504,suburb
oakdale_temp_1h_average_c,1,0.8805339911875244,0.940872482211555,suburb
oakdale_temp_1h_average_c,3,1.7604302972590542,0.8818612861113767,suburb
prospect_temp_1h_average_c,1,0.5461747965355569,0.9684247287837328,suburb
prospect_temp_1h_average_c,3,2.0359217000606393,0.8823706373402018,suburb
campbelltown_west_temp_1h_average_c,1,0.5747781625490933,0.9688981496165099,suburb
campbelltown_west_temp_1h_average_c,3,2.0117267335434863,0.8912062911518336,suburb
camden_temp_1h_average_c,1,0.7756006089227163,0.965019059346802,suburb
camden_temp_1h_average_c,3,2.556038257036478,0.8847797228708364,suburb
macquarie_park_temp_1h_average_c,1,0.9690606721433669,0.9476806012470109,suburb
macquarie_park_temp_1h_average_c,3,2.7830253373522233,0.8498272607987041,suburb
rouse_hill_temp_1h_average_c,1,0.5911602685016213,0.9662839603304942,suburb
rouse_hill_temp_1h_average_c,3,1.9264108163050662,0.890192058483197,suburb
lidcombe_temp_1h_average_c,1,0.575774190523998,0.9633661070879778,suburb
lidcombe_temp_1h_average_c,3,2.172892279404787,0.861830304022325,suburb
penrith_temp_1h_average_c,1,0.8144290645369646,0.96011523597685,suburb
penrith_temp_1h_average_c,3,2.6053839990648626,0.8724782277841655,suburb
sydney_wsp_1h_average_m_s,1,0.053527004322832895,0.9193677617897358,city
sydney_wsp_1h_average_m_s,3,0.17786459707899194,0.732156233066384,city
sydney_temp_1h_average_c,1,0.34377443927620527,0.980112566068304,city
sydney_temp_1h_average_c,3,1.7335111436175847,0.899774874201904,city
